"Word","Image","Sentence","Collocation","Meaning","Complete Sentence","Audio"
"depend","depend on.jpg","Whether we have the picnic will depend ___ the weather.","depend on","依賴於，取決於","Whether we have the picnic will depend on the weather.","depend on.mp3"
"suffer","suffer from.jpg","He's been suffering ___ a severe fever all week.","suffer from","患有；遭受（痛苦）","He's been suffering from a severe fever all week.","suffer from.mp3"
"apply","apply for.jpg","She decided to apply ___ Harvard after graduation.","apply for","申請（職位、学校等）","She decided to apply for Harvard after graduation.","apply for.mp3"
"run","run into.jpg","Guess who I ran ___ at the grocery store today!","run into","撞上，偶然遇到","Guess who I ran into at the grocery store today!","run into.mp3"
"look","look after.jpg","Could you look ___ my kitten while I am away?","look after","照顧，照料","Could you look after my kitten while I am away?","look after.mp3"
"get","get through.jpg","The speech was tough, but she managed to get ___ it.","get through","完成，熬過（困難）","The speech was tough, but she managed to get through it.","get through.mp3"
"agree","agree on.jpg","Both parties finally agreed ___ the price.","agree on","就...達成一致意見","Both parties finally agreed on the price.","agree on.mp3"
"compare","compare to.jpg","How does the new model compare ___ the old one?","compare to","對比，比較","How does the new model compare to the old one?","compare to.mp3"
"wait","wait on.jpg","The staff is trained to wait ___ customers efficiently.","wait on","服侍，招待","The staff is trained to wait on customers efficiently.","wait on.mp3"
"consist","consist of.jpg","The atmosphere consists ___ oxygen and nitrogen.","consist of","由...組成","The atmosphere consists of oxygen and nitrogen.","consist of.mp3"
"result","result in.jpg","The heavy rain will likely result ___ some flooding.","result in","導致，造成","The heavy rain will likely result in some flooding.","result in.mp3"
"focus","focus on.jpg","The next chapter will focus ___ the economic impacts.","focus on","集中註意力於","The next chapter will focus on the economic impacts.","focus on.mp3"
"account","account for.jpg","How do you account ___ the sudden drop in sales?","account for","解釋，說明（原因）","How do you account for the sudden drop in sales?","account for.mp3"
"invest","invest in.jpg","The company plans to invest ___ new technology.","invest in","投資於","The company plans to invest in new technology.","invest in.mp3"
"apologize","apologize for.jpg","I want to apologize ___ being so late.","apologize for","為某事道歉","I want to apologize for being so late.","apologize for.mp3"
"listen","listen to.jpg","The kid is listening ___ grandpa's stories carefully.","listen to","傾聽；給予關註","The kid is listening to grandpa's stories carefully.","listen to.mp3"
"pay","pay for.jpg","I’ll pay ___ the dinner tonight; it’s my treat.","pay for","支付，為某事付錢","I’ll pay for the dinner tonight; it’s my treat.","pay for.mp3"
"belong","belong to.jpg","This key must be belong ___ someone.","belong to","屬於","This key must be belong to someone.","belong to.mp3"
"think","think about.jpg","I need some time to think ___ your offer.","think about","考慮，思索","I need some time to think about your offer.","think about.mp3"
"care","care about.jpg","She really cares ___ the environment.","care about","關心，在意，重視","She really cares about the environment.","care about.mp3"
"believe","believe in.jpg","You have to believe ___ yourself to succeed.","believe in","信任，相信（存在）","You have to believe in yourself to succeed.","believe in.mp3"
"congratulate","congratulate on.jpg","I want to congratulate you ___ your promotion!","congratulate on","祝賀","I want to congratulate you on your promotion!","congratulate on.mp3"
"provide","provide with.jpg","The company provide students ___ free computers.","provide with","供給，提供","The company provide students with free computers.","provide with.mp3"
"specialize","specialize in.jpg","This clinic specializes ___ heart disease.","specialize in","專門從事，專攻","This clinic specializes in heart disease.","specialize in.mp3"
"rely","rely on.jpg","You can always rely ___ him to keep a secret.","rely on","依賴，依靠","You can always rely on him to keep a secret.","rely on.mp3"
